StockQty,ReservedQty,AvailableQty,ReorderLevel,SafetyStock,InventoryValue,LastUpdated
962,12,950,166,79,1111004.18,2026-06-24
889,44,845,196,48,175577.5,2026-06-20
1841,238,1603,442,246,333865.35,2026-07-02
1678,366,1312,333,222,3568468.36,2026-06-30
3729,569,3160,378,267,13073090.91,2026-06-29
2837,284,2553,362,251,13584123.4,2026-06-25
2807,104,2703,327,334,1484201.25,2026-06-23
2867,618,2249,421,165,10499441.39,2026-07-15
4442,255,4187,831,262,12360309.2,2026-06-23
3012,591,2421,399,185,833811.96,2026-07-17
1916,296,1620,231,154,8313696.44,2026-07-09
3163,284,2879,548,344,2704807.82,2026-06-20
2960,214,2746,639,284,10431069.6,2026-06-20
634,155,479,144,52,1707989.66,2026-06-23
2055,167,1888,441,199,2848723.2,2026-06-29
4612,449,4163,793,661,17770727.8,2026-06-30
508,58,450,54,76,818636.92,2026-07-13
2243,67,2176,332,257,9842328.86,2026-07-18
2627,217,2410,597,386,5276014.26,2026-06-20
3808,292,3516,651,261,4839244.48,2026-07-16
4648,1103,3545,733,614,13682317.6,2026-06-28
4830,817,4013,853,353,24086050.8,2026-07-15
1183,260,923,244,70,4484894.96,2026-07-09
948,78,870,134,134,2028426.12,2026-06-29
570,98,472,105,66,2839056.0,2026-07-10
4384,514,3870,1004,224,14981881.6,2026-07-17
988,274,714,166,147,3184086.88,2026-07-02
963,150,813,207,68,2210980.59,2026-06-19
2207,512,1695,311,239,10080494.57,2026-06-26
2494,654,1840,508,279,2580317.34,2026-07-09
3113,780,2333,393,431,14848449.66,2026-07-05
4394,1,4393,1052,384,10847028.4,2026-07-02
966,185,781,174,78,325281.18,2026-06-26
4697,161,4536,556,608,11534188.05,2026-06-29
616,136,480,77,38,2042514.32,2026-07-05
4553,338,4215,726,497,19889962.62,2026-06-23
3516,433,3083,556,334,7119935.16,2026-06-23
3109,448,2661,770,419,7103629.74,2026-07-07
2080,230,1850,240,190,320569.6,2026-06-23
4587,471,4116,1060,341,392601.33,2026-07-06
532,58,474,61,28,2290366.4,2026-07-05
630,131,499,93,66,2117707.2,2026-07-18
1805,135,1670,422,152,7100635.35,2026-07-01
3384,194,3190,386,218,11207672.64,2026-06-21
2952,433,2519,505,386,12770322.48,2026-07-11
493,25,468,56,49,1801747.38,2026-07-15
945,127,818,143,71,2555856.45,2026-06-25
1198,216,982,165,94,2803331.98,2026-07-07
667,113,554,136,45,200373.47,2026-06-22
4478,30,4448,542,608,19036157.12,2026-07-15
1412,208,1204,265,193,1564566.6,2026-07-03
3335,924,2411,363,250,6422943.2,2026-07-06
3248,271,2977,798,394,4748511.04,2026-07-17
4602,1355,3247,958,309,4555933.98,2026-06-28
1833,59,1774,214,171,610334.01,2026-06-22
4835,976,3859,997,711,20650091.6,2026-06-21
1339,29,1310,263,86,5709696.85,2026-06-30
611,152,459,69,73,2637082.11,2026-07-03
3357,122,3235,817,458,4259260.89,2026-06-22
4920,81,4839,1126,287,10455787.2,2026-06-30
4831,1157,3674,1018,402,22593620.8,2026-06-23
1723,321,1402,294,153,3461748.22,2026-07-07
2507,468,2039,411,362,9455727.11,2026-07-02
644,2,642,122,44,265740.16,2026-07-11
1796,518,1278,314,122,8386655.48,2026-07-06
613,62,551,108,48,509311.05,2026-06-26
4500,619,3881,1076,638,14792310.0,2026-07-06
114,19,95,14,7,154938.54,2026-07-06
926,79,847,161,82,2818660.66,2026-06-29
2858,208,2650,636,277,7292958.66,2026-07-01
2107,52,2055,257,267,4523096.9,2026-06-22
2316,45,2271,232,200,8956064.64,2026-07-18
2195,165,2030,445,250,7776994.75,2026-06-27
4644,19,4625,578,270,21956832.0,2026-07-14
1271,279,992,136,157,3728376.82,2026-06-30
1263,220,1043,158,68,1990336.44,2026-06-26
376,45,331,50,33,1260096.32,2026-07-11
2947,798,2149,580,355,14353334.03,2026-07-07
1316,121,1195,172,110,5807521.16,2026-07-02
253,22,231,46,37,1178357.62,2026-07-16
2082,273,1809,289,305,7331409.06,2026-06-29
3183,893,2290,337,399,3663792.15,2026-07-04
3820,716,3104,694,307,4406255.4,2026-06-21
1632,204,1428,247,152,7064193.6,2026-06-30
2336,359,1977,561,246,4738365.76,2026-06-20
4442,678,3764,472,281,19506332.28,2026-07-04
2189,182,2007,515,176,523980.93,2026-07-08
4937,889,4048,846,619,19465702.34,2026-07-01
3624,1047,2577,480,378,16317241.2,2026-06-22
1607,130,1477,171,191,93800.59,2026-06-29
4460,403,4057,818,443,1767810.2,2026-07-16
2754,638,2116,435,200,9949596.12,2026-07-04
2510,519,1991,409,295,5199565.4,2026-06-29
3346,713,2633,485,450,2275514.22,2026-07-13
3494,776,2718,527,489,10017542.58,2026-07-08
3376,561,2815,763,168,5246911.68,2026-07-11
1771,440,1331,341,207,3961443.64,2026-06-25
1800,523,1277,422,133,5960358.0,2026-07-01
2374,527,1847,576,280,7395817.16,2026-06-25
815,209,606,202,70,2754977.1,2026-06-30
1890,203,1687,264,100,526856.4,2026-07-16
3942,149,3793,860,409,17488209.96,2026-07-15
4765,398,4367,1189,434,11899015.05,2026-07-01
2048,151,1897,206,294,8825200.64,2026-07-17
923,217,706,148,68,3720003.82,2026-07-09
4293,951,3342,480,499,5510194.29,2026-07-17
1044,233,811,138,154,2453379.12,2026-07-08
4401,1144,3257,1049,382,20916632.7,2026-07-06
3675,1033,2642,803,463,8295467.25,2026-06-29
1353,380,973,256,182,1803549.0,2026-06-25
2075,283,1792,473,227,6541230.0,2026-07-13
2299,450,1849,268,296,3366540.65,2026-07-12
2275,343,1932,390,341,6196531.25,2026-06-23
1183,77,1106,177,108,4122814.15,2026-06-21
1802,65,1737,392,194,3041523.72,2026-06-24
3866,851,3015,449,298,16132083.46,2026-06-26
3240,926,2314,718,461,15334952.4,2026-06-26
210,48,162,51,10,990479.7,2026-07-09
2496,399,2097,463,261,9360499.2,2026-07-17
4523,1235,3288,677,475,5138761.22,2026-06-22
