ReturnID,ReturnDate,Quantity,ReturnReason,RefundAmount,ReturnType,ProcessedBy,Status
1,2026-04-07,1,Wrong Item,820.27,Refund,378,Approved
2,2024-01-07,5,Defective Product,2356.08,Refund,112,Approved
3,2023-08-26,5,Damaged Product,858.09,Replacement,280,Completed
4,2024-09-18,4,Customer Changed Mind,14813.79,Refund,413,Approved
5,2024-08-02,4,Damaged Product,8638.21,Exchange,173,Approved
6,2024-06-29,4,Customer Changed Mind,2598.57,Replacement,414,Pending
7,2024-02-20,4,Missing Parts,13498.46,Refund,283,Approved
8,2023-12-25,5,Defective Product,22159.2,Refund,36,Pending
9,2026-06-04,2,Missing Parts,19372.09,Exchange,444,Approved
10,2025-11-12,3,Customer Changed Mind,11444.58,Refund,182,Approved
11,2023-12-01,3,Late Delivery,17605.14,Refund,326,Approved
12,2026-01-21,2,Defective Product,4252.38,Exchange,328,Completed
13,2025-05-04,2,Customer Changed Mind,17178.43,Replacement,118,Completed
14,2023-09-06,3,Damaged Product,10148.89,Exchange,291,Completed
15,2023-09-03,3,Defective Product,5473.14,Exchange,330,Completed
16,2023-12-11,3,Late Delivery,3662.83,Refund,383,Completed
17,2024-06-22,5,Wrong Item,10105.13,Exchange,261,Completed
18,2024-07-14,1,Damaged Product,21555.35,Refund,349,Completed
19,2025-09-11,1,Quality Issue,9742.23,Refund,129,Completed
20,2026-02-08,1,Damaged Product,17071.03,Exchange,385,Approved
21,2023-08-29,3,Defective Product,2966.49,Refund,489,Completed
22,2025-12-06,3,Customer Changed Mind,24302.82,Refund,55,Completed
23,2024-05-22,3,Quality Issue,21073.4,Refund,192,Completed
24,2026-04-23,5,Incorrect Size,23846.79,Exchange,307,Approved
25,2026-07-12,1,Defective Product,2974.32,Exchange,414,Approved
26,2025-11-11,1,Quality Issue,6173.62,Refund,375,Completed
27,2025-04-30,1,Quality Issue,24454.02,Refund,338,Completed
28,2024-06-25,5,Quality Issue,4295.15,Replacement,494,Approved
29,2025-06-15,5,Late Delivery,18930.58,Replacement,205,Completed
30,2026-01-19,3,Quality Issue,11064.88,Refund,116,Pending
31,2024-09-23,1,Wrong Item,14790.06,Refund,37,Completed
32,2023-07-29,1,Incorrect Size,5877.76,Exchange,37,Completed
33,2024-03-23,3,Wrong Item,16790.65,Refund,479,Completed
34,2026-07-07,5,Customer Changed Mind,11922.24,Replacement,98,Pending
35,2025-05-05,4,Defective Product,8986.58,Exchange,28,Completed
36,2024-12-28,1,Late Delivery,1703.19,Replacement,56,Approved
37,2024-09-22,2,Damaged Product,13499.89,Refund,237,Approved
38,2024-03-16,1,Customer Changed Mind,11189.64,Refund,26,Completed
39,2024-06-17,5,Missing Parts,20933.48,Exchange,435,Approved
40,2024-12-22,4,Wrong Item,12243.9,Refund,31,Approved
41,2023-12-24,1,Wrong Item,24635.66,Replacement,233,Approved
42,2023-12-10,5,Defective Product,16614.41,Refund,112,Completed
43,2025-02-28,5,Damaged Product,18446.28,Refund,26,Completed
44,2023-12-16,5,Quality Issue,23000.8,Refund,261,Pending
45,2025-01-26,2,Damaged Product,1899.33,Exchange,207,Approved
46,2025-01-03,5,Quality Issue,6306.14,Replacement,215,Completed
47,2026-02-10,5,Incorrect Size,13165.01,Refund,367,Approved
48,2024-09-01,3,Late Delivery,10015.49,Refund,162,Completed
49,2023-09-24,1,Quality Issue,431.02,Refund,52,Pending
50,2025-07-01,2,Damaged Product,12745.94,Refund,36,Completed
51,2025-10-29,3,Defective Product,7267.69,Refund,155,Completed
52,2024-01-28,5,Customer Changed Mind,394.01,Refund,340,Approved
53,2025-02-26,2,Customer Changed Mind,6758.75,Replacement,80,Approved
54,2023-11-18,5,Defective Product,5423.62,Replacement,437,Approved
55,2025-11-22,4,Incorrect Size,6427.81,Refund,325,Completed
56,2024-10-16,3,Defective Product,1293.35,Refund,135,Approved
57,2026-03-21,4,Defective Product,13881.67,Refund,39,Completed
58,2026-03-05,2,Customer Changed Mind,13730.64,Refund,76,Completed
59,2025-01-30,1,Customer Changed Mind,7844.81,Replacement,441,Pending
60,2025-12-31,3,Wrong Item,5409.9,Refund,400,Completed
61,2024-05-12,4,Late Delivery,24351.16,Exchange,122,Completed
62,2026-07-17,2,Damaged Product,22059.12,Replacement,171,Completed
63,2023-11-04,4,Customer Changed Mind,20095.43,Replacement,137,Approved
64,2023-09-28,1,Damaged Product,9687.03,Refund,103,Completed
65,2026-05-11,4,Customer Changed Mind,8871.53,Exchange,115,Pending
66,2024-07-07,2,Wrong Item,10081.96,Refund,396,Approved
67,2024-10-10,5,Missing Parts,10112.02,Refund,481,Pending
68,2023-11-19,3,Missing Parts,4628.48,Refund,56,Completed
69,2024-07-14,3,Wrong Item,18267.92,Replacement,262,Approved
70,2023-12-22,5,Damaged Product,4913.95,Refund,267,Completed
71,2025-02-28,5,Incorrect Size,17234.06,Replacement,101,Rejected
72,2024-09-22,1,Incorrect Size,23732.09,Replacement,340,Completed
73,2025-06-22,3,Late Delivery,12776.64,Refund,357,Approved
74,2026-04-01,2,Late Delivery,4957.63,Refund,384,Completed
75,2025-02-04,5,Defective Product,14313.81,Replacement,156,Approved
76,2024-03-27,4,Quality Issue,19686.82,Refund,227,Completed
77,2025-02-13,2,Customer Changed Mind,12877.12,Exchange,377,Approved
78,2025-01-20,1,Late Delivery,7237.9,Replacement,48,Completed
79,2024-06-08,2,Wrong Item,16885.33,Refund,13,Pending
80,2026-05-25,4,Customer Changed Mind,15359.59,Refund,454,Completed
81,2024-09-05,2,Defective Product,18014.98,Refund,76,Completed
82,2026-07-13,1,Customer Changed Mind,22337.96,Exchange,399,Completed
83,2026-06-14,2,Late Delivery,20141.92,Refund,286,Approved
84,2026-04-20,1,Customer Changed Mind,11520.25,Replacement,287,Completed
85,2023-11-06,4,Late Delivery,15393.78,Refund,426,Completed
86,2026-02-19,4,Late Delivery,22450.76,Refund,133,Completed
87,2026-03-31,3,Quality Issue,19192.18,Replacement,141,Completed
88,2024-04-09,3,Defective Product,6015.44,Exchange,42,Approved
89,2025-10-25,2,Damaged Product,9699.28,Refund,213,Completed
90,2024-08-02,5,Damaged Product,11754.92,Replacement,200,Completed
91,2024-03-28,5,Damaged Product,23662.34,Exchange,295,Rejected
92,2025-07-06,1,Wrong Item,23579.99,Refund,457,Completed
93,2025-02-27,4,Late Delivery,13547.87,Replacement,460,Approved
94,2024-09-10,2,Defective Product,6968.8,Refund,343,Completed
95,2026-04-08,4,Customer Changed Mind,18159.7,Exchange,319,Completed
96,2026-06-22,4,Late Delivery,14878.94,Refund,220,Approved
97,2025-11-30,4,Wrong Item,4706.88,Refund,233,Approved
98,2024-06-24,4,Missing Parts,7100.76,Refund,428,Pending
99,2026-06-16,1,Damaged Product,18775.8,Exchange,115,Completed
100,2024-12-03,1,Incorrect Size,18904.98,Refund,11,Completed
101,2023-10-13,2,Late Delivery,3330.28,Refund,112,Completed
102,2024-07-08,3,Damaged Product,19219.07,Replacement,383,Completed
103,2023-09-06,2,Damaged Product,24125.08,Refund,160,Completed
104,2024-11-20,4,Late Delivery,10037.03,Refund,354,Completed
105,2025-04-02,2,Customer Changed Mind,2727.15,Exchange,308,Completed
106,2024-09-06,5,Defective Product,19609.36,Refund,190,Pending
107,2023-10-29,3,Defective Product,513.77,Refund,222,Completed
108,2024-06-10,4,Defective Product,17741.25,Replacement,495,Completed
109,2025-12-16,5,Quality Issue,20243.34,Refund,224,Completed
110,2024-11-18,5,Customer Changed Mind,6856.21,Replacement,45,Approved
111,2024-06-13,4,Defective Product,6247.81,Replacement,195,Approved
112,2026-05-02,4,Damaged Product,21303.63,Refund,409,Approved
113,2025-09-01,3,Late Delivery,22031.94,Refund,6,Completed
114,2025-03-24,2,Late Delivery,2323.2,Refund,389,Approved
115,2026-04-12,4,Defective Product,16218.39,Replacement,48,Approved
116,2025-06-30,4,Wrong Item,17356.32,Refund,243,Completed
117,2024-02-25,3,Late Delivery,10752.49,Refund,360,Completed
118,2024-09-02,3,Damaged Product,6434.81,Refund,62,Completed
119,2024-02-20,2,Late Delivery,4950.22,Refund,302,Completed
120,2024-08-05,5,Missing Parts,15000.41,Replacement,152,Approved
121,2025-12-07,2,Late Delivery,7696.24,Refund,24,Completed
122,2025-11-02,5,Incorrect Size,7444.99,Replacement,386,Completed
123,2024-08-30,1,Defective Product,14436.79,Refund,95,Completed
124,2026-01-12,3,Defective Product,23538.38,Replacement,206,Completed
125,2025-05-14,5,Damaged Product,15810.25,Refund,289,Completed
126,2026-01-10,1,Damaged Product,24849.17,Replacement,311,Completed
127,2025-03-30,5,Quality Issue,5797.04,Refund,227,Approved
128,2025-01-31,5,Wrong Item,24752.78,Replacement,313,Completed
129,2024-06-23,1,Wrong Item,23700.24,Refund,339,Pending
130,2024-02-18,2,Damaged Product,4510.58,Refund,231,Completed
131,2025-09-17,4,Wrong Item,7423.23,Replacement,360,Completed
132,2025-08-23,1,Incorrect Size,17247.15,Replacement,321,Completed
133,2023-12-07,2,Quality Issue,10743.45,Replacement,466,Approved
134,2023-09-30,2,Damaged Product,1970.96,Refund,384,Completed
135,2024-01-05,3,Defective Product,11091.01,Refund,207,Completed
136,2024-03-12,5,Defective Product,13591.54,Refund,456,Completed
137,2026-03-19,3,Damaged Product,15172.1,Refund,346,Completed
138,2024-03-23,5,Damaged Product,14760.65,Replacement,421,Approved
139,2026-06-10,1,Damaged Product,19125.1,Refund,227,Completed
140,2025-05-04,2,Defective Product,24924.25,Replacement,497,Pending
141,2026-01-30,3,Defective Product,10327.03,Refund,83,Approved
142,2023-10-25,4,Incorrect Size,7347.8,Replacement,282,Pending
143,2025-03-07,1,Defective Product,8000.03,Exchange,207,Completed
144,2025-03-02,1,Quality Issue,16509.98,Refund,97,Completed
145,2026-01-29,5,Quality Issue,18959.79,Replacement,105,Approved
146,2025-07-15,2,Defective Product,23206.28,Replacement,63,Pending
147,2025-10-17,5,Late Delivery,20022.98,Refund,8,Completed
148,2024-08-12,1,Customer Changed Mind,5772.58,Refund,485,Approved
149,2025-11-24,2,Late Delivery,12559.71,Refund,140,Completed
150,2023-08-05,4,Wrong Item,24510.07,Refund,197,Approved
151,2026-06-09,5,Customer Changed Mind,12804.37,Exchange,142,Completed
152,2024-01-12,4,Customer Changed Mind,8628.91,Refund,2,Approved
153,2026-06-12,3,Quality Issue,20969.4,Replacement,444,Approved
154,2025-10-30,5,Defective Product,12211.67,Replacement,194,Completed
155,2024-09-05,3,Missing Parts,21766.12,Refund,197,Approved
156,2026-04-09,4,Late Delivery,1282.45,Replacement,416,Rejected
157,2024-12-28,2,Damaged Product,12484.15,Refund,303,Approved
158,2024-01-08,1,Defective Product,21879.92,Refund,234,Pending
159,2024-10-16,2,Late Delivery,10367.47,Refund,241,Completed
160,2025-05-24,3,Late Delivery,8596.32,Replacement,437,Approved
161,2024-03-20,5,Wrong Item,9624.23,Replacement,389,Completed
162,2025-06-22,5,Damaged Product,1090.3,Replacement,472,Approved
163,2023-07-24,2,Defective Product,18719.81,Refund,325,Completed
164,2024-08-31,1,Late Delivery,11203.23,Exchange,24,Approved
165,2025-09-03,1,Defective Product,7475.52,Refund,272,Completed
166,2024-04-21,2,Damaged Product,4415.59,Exchange,318,Completed
167,2025-09-14,4,Damaged Product,22838.16,Refund,131,Completed
168,2023-12-31,1,Defective Product,22492.93,Refund,280,Approved
169,2026-03-16,4,Missing Parts,23641.84,Refund,493,Completed
170,2024-10-24,3,Wrong Item,11529.53,Exchange,437,Completed
171,2026-04-06,2,Defective Product,9657.83,Refund,359,Approved
172,2025-09-14,4,Quality Issue,7007.11,Replacement,382,Completed
173,2026-02-19,5,Customer Changed Mind,18680.27,Exchange,398,Completed
174,2024-05-22,5,Wrong Item,20087.91,Refund,129,Completed
175,2024-03-12,2,Incorrect Size,15780.55,Replacement,159,Completed
176,2025-02-18,1,Late Delivery,14573.43,Refund,152,Approved
177,2024-03-25,4,Damaged Product,4555.87,Refund,498,Rejected
178,2025-11-02,5,Customer Changed Mind,22854.48,Refund,423,Completed
179,2025-10-19,3,Defective Product,18714.67,Refund,494,Pending
180,2023-07-19,2,Late Delivery,21531.49,Exchange,496,Completed
181,2026-02-03,5,Customer Changed Mind,9271.22,Refund,275,Approved
182,2024-12-03,3,Late Delivery,16886.14,Refund,422,Completed
183,2025-08-16,3,Wrong Item,2886.98,Refund,453,Completed
184,2023-08-18,3,Wrong Item,22898.35,Refund,422,Completed
185,2024-01-08,3,Damaged Product,16301.14,Refund,20,Approved
186,2025-02-01,4,Wrong Item,3079.79,Refund,199,Completed
